N;ALTITUD;CIUDAD;DEPARTAMENTO;DISTRITO;LATITUD;LONGITUD;N_ESTACION;N_ZONA;PROVINCIA;RANGO;ZONA_CLIMÁTICA
1;3468;Chacoche;Apurimac;Chacoche;-13° 56';-72° 59';669;4;Abancay (4 Mesoandino);3000 - 4000;Mesoandino
2;2763;Curahuasi;Apurimac;Curahuasi;-13° 33';-72° 44';677;7;Abancay (7 Ceja de Montaña);2000 - 3000;Ceja de Montaña
3;3236;Acobamba;Huancavelica;Acobamba;-12° 51';-74° 34';659;4;Acobamba;3000 - 4000;Mesoandino
4;3160;Acomayo;Cusco;Acomayo;-13° 55';-71° 41';687;4;Acomayo;3000 - 4000;Mesoandino
5;3427;Aija;Ancash;Aija;-09° 46';-77° 36';404;4;Aija;3000 - 4000;Mesoandino
6;120;Yurimaguas;Loreto;Yurimaguas;-05° 56';-76° 05';278;9;Alto Amazonas;400 - 1000;Tropical Húmedo
7;3000;San Rafael;Huánuco;San Rafael;-10° 20';-76° 10';552;4;Ambo (4 Mesoandino);3000 - 4000;Mesoandino
8;2076;Ambo;Huánuco;Ambo;-10° 07';-76° 12';377;7;Ambo (7 Ceja de Montaña);2000 - 3000;Ceja de Montaña
9;2866;Andahuaylas;Apurimac;Andahuaylas;-13° 39';-73° 22';669;4;Andahuaylas;3000 - 4000;Mesoandino
10;3372;Lircay;Huancavelica;Lircay;-12° 59';-74° 43';657;6;Angaraes;4800 - 5800;Nevado
11;3382;Pucyura;Cusco;Pucyura;-13° 29';-72° 07';684;4;Anta;3000 - 4000;Mesoandino
12;3640;Antabamba;Apurimac;Antabamba;-14° 21';-72° 52';757;5;Antabamba;4000 - 4800;Alto Andino
13;3457;Llamerin;Ancash;Llamerin;-09° 06';-77° 01';404;4;Antonio Raimondi;3000 - 4000;Mesoandino
14;3045;Pocsi;Arequipa;Pocsi;-16° 31';-72° 23';800;4;Arequipa;3000 - 4000;Mesoandino
15;238;Ascope;La Libertad;Ascope;-07° 42';-79° 06';230;2;Ascope;400 - 2000;Desértico 
16;3336;Chacas;Ancash;Chacas;-09° 09';-77° 22';404;4;Asunción (4 Mesoandino);3000 - 4000;Mesoandino
17;2980;Acocacha;Ancash;Acocacha;-09° 06';-77° 22';444;6;Asunción (6 Nevado);4800 - 5800;Nevado
18;228;Atalaya;Ucayali;Raymondi;-10° 43';-73° 45';459;9;Atalaya;400 - 1000;Tropical Húmedo
19;2666;Ayabaca;Piura;Ayabaca;-04° 05';-79° 99';359;4;Ayabaca (4 Mesoandino);3000 - 4000;Mesoandino
20;2700;Ayabaca;Piura;Ayabaca;-04° 38';-79° 43';237;7;Ayabaca (7 Ceja de Montaña);2000 - 3000;Ceja de Montaña
21;2911;Chalhuanca;Apurimac;Chalhuanca;-14° 17';-73°14';669;4;Aymaraes;3000 - 4000;Mesoandino
22;4172;Potoni;Puno;Potoni;-14° 23';-70° 06';783;5;Azángaro;4000 - 4800;Alto Andino
23;483;Bagua;Amazonas;Bagua;-05° 38';-78° 31';253;9;Bagua;400 - 1000;Tropical Húmedo
24;55;Barranca;Lima;Barranca;-10° 45';-77° 03';616;1;Barranca;0 - 2000;Desértico Costero
25;247;Bellavista;San Martín;Bellavista;-07° 03';-76° 33';382;9;Bellavista;400 - 1000;Tropical Húmedo
26;3098;Bolívar;La Libertad;Bolívar;-07° 09';-77° 42';374;4;Bolívar;3000 - 4000;Mesoandino
27;3401;Chiquian;Ancash;Chiquian;-10° 09';-77° 09';554;5;Bolognesi;4000 - 4800;Alto Andino
28;2046;Jumbilla;Amazonas;Jumbilla;-05° 54';-77° 47';375;7;Bongará;2000 - 3000;Ceja de Montaña
29;3275;Cachachi;Cajamarca;Cachachi;-07° 26';-78° 16';359;4;Cajabamba (4 Mesoandino);3000 - 4000;Mesoandino
30;3180;Encañada;Cajamarca;Encañada;-07° 02';-78° 38';359;4;Cajamarca (4 Mesoandino);3000 - 4000;Mesoandino
31;2660;Cajamarca;Cajamarca;Cajamarca;-07° 10';-78° 29';304;7;Cajamarca (7 Ceja de Montaña);2000 - 3000;Ceja de Montaña
